1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
1, 15, 86
1, 29, 49
1, 5, 64
1, 4, 52
1, 27, 85
1, 23, 72
2, 10, 1
2, 19, 53
2, 14, 20
2, 3, 89
3, 12, 75
3, 7, 8
3, 19, 57
3, 25, 18
3, 31, 7
3, 28, 7
3, 6, 79
3, 17, 39
4, 17, 86
4, 24, 64
4, 25, 43
5, 29, 34
5, 23, 78
5, 20, 14
5, 31, 2
6, 19, 43
6, 13, 32
6, 7, 93
6, 30, 15
6, 18, 88
6, 27, 38
6, 9, 90
7, 26, 57
7, 22, 96
7, 13, 70
7, 23, 49
8, 9, 100
8, 10, 61
8, 11, 87
9, 21, 3
9, 23, 28
9, 20, 47
9, 15, 21
9, 17, 23
9, 13, 91
10, 28, 56
10, 23, 57
10, 29, 13
10, 22, 65
11, 26, 32
12, 25, 47
12, 30, 19
12, 16, 12
13, 16, 4
13, 19, 99
13, 26, 8
14, 31, 50
14, 18, 54
14, 30, 11
15, 25, 81
15, 26, 61
15, 29, 25
15, 20, 44
15, 27, 66
15, 18, 22
15, 17, 40
16, 22, 54
16, 30, 90
17, 30, 51
17, 20, 26
17, 26, 59
18, 19, 11
18, 22, 80
19, 25, 39
19, 27, 58
19, 24, 98
19, 23, 8
21, 26, 85
21, 28, 16
22, 28, 20
23, 28, 53
24, 29, 87
24, 28, 22
26, 28, 32
26, 30, 42
27, 31, 90
27, 28, 35
28, 29, 84
